f,s,t,fou
730,685,1114,1114
138,89,697,697
134,681,691,691
166,759,1009,1009
685,730,1164,1164
138,679,793,793
164,812,996,996
642,908,913,913
617,767,768,768
742,973,1110,1110
741,739,977,977
688,170,689,689
896,524,1152,1152
150,832,833,833
973,781,1110,1110
524,896,1151,1151
617,768,1175,1175
134,691,1165,1165
782,168,783,783
684,157,1089,1089
588,766,1126,1126
977,739,1173,1173
1009,759,1163,1163
139,693,695,695
89,90,697,697
766,588,1182,1182
1115,833,1127,1127
5,6,735,735
64,63,903,903
729,730,1114,1114
783,136,784,784
683,130,684,684
138,697,1153,1153
793,679,1162,1162
170,688,1168,1168
812,164,1160,1160
693,139,1177,1177
908,642,1157,1157
150,833,1169,1169
736,152,738,738
686,146,688,688
5,735,1178,1178
64,903,1180,1180
130,683,685,685
991,127,1172,1172
996,812,1154,1154
738,152,739,739
146,686,690,690
162,692,693,693
642,913,1158,1158
679,138,1153,1153
162,691,692,692
641,695,1107,1107
895,896,1152,1152
759,166,1150,1150
172,1115,1127,1127
783,168,1170,1170
157,684,1171,1171
973,742,1156,1156
698,127,991,991
468,694,804,804
689,170,1112,1112
695,694,1107,1107
896,899,1151,1151
127,724,1172,1172
684,130,1171,1171
136,783,1170,1170
694,692,804,804
784,136,1163,1163
833,1115,1169,1169
475,534,740,740
694,468,1107,1107
686,687,690,690
681,134,1154,1154
168,782,1161,1161
1089,157,1162,1162
999,803,1160,1160
528,741,742,742
832,150,1157,1157
693,692,694,694
803,999,1185,1185
528,740,741,741
690,687,696,696
534,738,740,740
528,475,740,740
738,739,740,740
685,683,1111,1111
1149,728,1188,1188
726,728,1149,1149
1120,131,1139,1139
1119,731,1138,1138
1014,1125,1140,1140
828,1122,1128,1128
599,1124,1147,1147
465,1123,1146,1146
1121,60,1144,1144
1118,39,1141,1141
528,742,743,743
693,694,695,695
688,146,1168,1168
147,904,1166,1166
152,736,1167,1167
680,696,1049,1049
696,687,1049,1049
420,528,743,743
405,420,743,743
690,696,697,697
740,739,741,741
405,743,1108,1108
534,737,738,738
477,553,1004,1004
700,145,809,809
145,700,1032,1032
121,145,1032,1032
737,534,1004,1004
534,477,1004,1004
553,700,1004,1004
119,120,1104,1104
700,809,1004,1004
612,703,800,800
120,121,1032,1032
703,158,800,800
799,137,1103,1103
701,645,720,720
393,701,720,720
745,1033,1100,1100
153,722,1039,1039
645,647,720,720
412,278,883,883
297,299,761,761
701,393,769,769
1095,656,1096,1096
615,1082,1105,1105
722,598,1039,1039
479,715,717,717
82,83,730,730
479,453,715,715
445,412,712,712
712,412,883,883
709,376,922,922
708,376,709,709
649,650,872,872
704,480,716,716
210,208,934,934
713,213,914,914
702,701,769,769
446,714,795,795
714,446,926,926
446,795,855,855
165,774,986,986
906,556,1063,1063
811,438,1056,1056
453,480,715,715
480,704,715,715
1023,672,1053,1053
653,719,732,732
654,705,887,887
702,769,1000,1000
281,711,719,719
986,774,997,997
215,212,943,943
158,703,1091,1091
653,444,719,719
120,1032,1104,1104
445,712,732,732
710,135,997,997
331,854,995,995
380,858,1022,1022
808,791,1047,1047
590,746,747,747
590,747,748,748
360,297,761,761
444,281,719,719
709,922,933,933
705,654,906,906
706,360,761,761
1012,657,1044,1044
809,737,1004,1004
811,682,812,812
126,110,173,173
479,717,967,967
1017,380,1022,1022
1031,319,1040,1040
360,706,872,872
992,331,995,995
704,716,963,963
654,887,967,967
116,158,1091,1091
711,281,978,978
278,365,883,883
319,320,1080,1080
854,1017,1022,1022
854,331,1017,1017
135,986,997,997
707,761,987,987
891,890,1078,1078
728,155,729,729
718,566,806,806
126,173,174,174
376,708,934,934
707,992,995,995
633,718,806,806
818,819,1029,1029
155,82,730,730
110,111,173,173
712,653,732,732
707,987,992,992
605,482,748,748
706,649,872,872
858,1031,1040,1040
858,380,1031,1031
725,155,728,728
746,590,755,755
416,746,755,755
795,557,855,855
525,526,779,779
650,714,872,872
748,785,1071,1071
761,299,987,987
213,713,943,943
914,213,934,934
786,557,1025,1025
20,21,724,724
208,376,934,934
80,81,725,725
51,50,731,731
213,210,934,934
558,754,757,757
173,153,1039,1039
887,479,967,967
1051,868,1076,1076
750,751,982,982
872,714,926,926
750,661,758,758
482,590,748,748
111,153,173,173
495,1054,1079,1079
1033,143,1100,1100
873,943,1007,1007
814,559,1042,1042
212,213,943,943
954,578,967,967
661,662,758,758
774,165,1053,1053
873,215,943,943
682,811,1056,1056
114,129,723,723
760,749,957,957
661,750,982,982
455,760,957,957
127,20,724,724
720,647,1053,1053
422,465,1068,1068
128,80,725,725
566,718,834,834
716,1012,1044,1044
50,125,731,731
716,480,846,846
639,525,779,779
1091,703,1098,1098
258,261,756,756
843,494,937,937
733,169,734,734
658,808,1047,1047
734,169,735,735
123,169,733,733
824,834,1016,1016
767,765,768,768
559,873,1007,1007
493,818,1029,1029
494,843,938,938
165,1023,1053,1053
557,795,1025,1025
612,800,1092,1092
128,725,726,726
785,167,1071,1071
135,710,1050,1050
1037,385,1088,1088
723,129,1097,1097
178,180,1000,1000
21,154,724,724
606,710,997,997
81,155,725,725
52,156,770,770
156,51,731,731
416,744,746,746
764,765,767,767
111,112,153,153
841,843,937,937
485,486,906,906
852,1087,1090,1090
257,258,756,756
749,270,957,957
416,755,950,950
416,415,744,744
257,753,776,776
705,906,1063,1063
24,133,764,764
733,734,809,809
819,314,821,821
753,257,756,756
764,133,765,765
770,156,771,771
526,758,779,779
734,735,736,736
760,455,958,958
754,756,757,757
393,176,769,769
746,745,747,747
270,749,844,844
655,484,732,732
153,112,721,721
137,1067,1103,1103
109,110,126,126
